#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_01_0 , BASE1 , 2000-01-01 , 12:00 , AIR1 , 2000-01-01 , 13:13
LEG_09_12 , BASE1 , 2000-01-09 , 18:30 , AIR9 , 2000-01-09 , 21:36
LEG_09_17 , BASE1 , 2000-01-09 , 22:01 , AIR10 , 2000-01-10 , 0:47
LEG_10_11 , BASE1 , 2000-01-10 , 15:24 , AIR9 , 2000-01-10 , 18:32
LEG_10_12 , BASE1 , 2000-01-10 , 18:30 , AIR9 , 2000-01-10 , 21:36
LEG_10_17 , BASE1 , 2000-01-10 , 22:01 , AIR10 , 2000-01-11 , 0:47
LEG_11_11 , BASE1 , 2000-01-11 , 15:24 , AIR9 , 2000-01-11 , 18:32
LEG_11_12 , BASE1 , 2000-01-11 , 18:30 , AIR9 , 2000-01-11 , 21:36
LEG_11_17 , BASE1 , 2000-01-11 , 22:01 , AIR10 , 2000-01-12 , 0:47
LEG_12_8 , BASE1 , 2000-01-12 , 15:24 , AIR9 , 2000-01-12 , 18:32
LEG_12_9 , BASE1 , 2000-01-12 , 18:30 , AIR9 , 2000-01-12 , 21:36
LEG_12_14 , BASE1 , 2000-01-12 , 22:01 , AIR10 , 2000-01-13 , 0:47
LEG_13_1 , BASE1 , 2000-01-13 , 12:18 , AIR16 , 2000-01-13 , 13:47
LEG_13_8 , BASE1 , 2000-01-13 , 15:24 , AIR9 , 2000-01-13 , 18:32
LEG_13_9 , BASE1 , 2000-01-13 , 18:30 , AIR9 , 2000-01-13 , 21:36
LEG_13_14 , BASE1 , 2000-01-13 , 22:01 , AIR10 , 2000-01-14 , 0:47
LEG_14_0 , BASE1 , 2000-01-14 , 12:00 , AIR1 , 2000-01-14 , 13:13
LEG_14_12 , BASE1 , 2000-01-14 , 15:24 , AIR9 , 2000-01-14 , 18:32
LEG_14_13 , BASE1 , 2000-01-14 , 18:30 , AIR9 , 2000-01-14 , 21:36
LEG_14_18 , BASE1 , 2000-01-14 , 22:01 , AIR10 , 2000-01-15 , 0:47
LEG_15_12 , BASE1 , 2000-01-15 , 15:24 , AIR9 , 2000-01-15 , 18:32
LEG_15_13 , BASE1 , 2000-01-15 , 18:30 , AIR9 , 2000-01-15 , 21:36
LEG_15_19 , BASE1 , 2000-01-15 , 22:01 , AIR10 , 2000-01-16 , 0:47
LEG_16_12 , BASE1 , 2000-01-16 , 15:24 , AIR9 , 2000-01-16 , 18:32
LEG_16_13 , BASE1 , 2000-01-16 , 18:30 , AIR9 , 2000-01-16 , 21:36
LEG_16_19 , BASE1 , 2000-01-16 , 22:01 , AIR10 , 2000-01-17 , 0:47
LEG_17_12 , BASE1 , 2000-01-17 , 15:24 , AIR9 , 2000-01-17 , 18:32
LEG_17_13 , BASE1 , 2000-01-17 , 18:30 , AIR9 , 2000-01-17 , 21:36
LEG_17_19 , BASE1 , 2000-01-17 , 22:01 , AIR10 , 2000-01-18 , 0:47
LEG_18_12 , BASE1 , 2000-01-18 , 15:24 , AIR9 , 2000-01-18 , 18:32
LEG_18_13 , BASE1 , 2000-01-18 , 18:30 , AIR9 , 2000-01-18 , 21:36
LEG_18_19 , BASE1 , 2000-01-18 , 22:01 , AIR10 , 2000-01-19 , 0:47
LEG_19_7 , BASE1 , 2000-01-19 , 15:24 , AIR9 , 2000-01-19 , 18:32
LEG_19_8 , BASE1 , 2000-01-19 , 18:30 , AIR9 , 2000-01-19 , 21:36
LEG_19_15 , BASE1 , 2000-01-19 , 22:01 , AIR10 , 2000-01-20 , 0:47
LEG_20_2 , BASE1 , 2000-01-20 , 12:18 , AIR16 , 2000-01-20 , 13:47
LEG_20_17 , BASE1 , 2000-01-20 , 15:10 , BASE2 , 2000-01-20 , 16:52
LEG_20_7 , BASE1 , 2000-01-20 , 15:24 , AIR9 , 2000-01-20 , 18:32
LEG_20_8 , BASE1 , 2000-01-20 , 18:30 , AIR9 , 2000-01-20 , 21:36
LEG_20_16 , BASE1 , 2000-01-20 , 22:01 , AIR10 , 2000-01-21 , 0:47
LEG_21_0 , BASE1 , 2000-01-21 , 12:00 , AIR1 , 2000-01-21 , 13:13
LEG_21_11 , BASE1 , 2000-01-21 , 15:24 , AIR9 , 2000-01-21 , 18:32
LEG_21_12 , BASE1 , 2000-01-21 , 18:30 , AIR9 , 2000-01-21 , 21:36
LEG_21_18 , BASE1 , 2000-01-21 , 22:01 , AIR10 , 2000-01-22 , 0:47
LEG_01_30 , BASE2 , 2000-01-01 , 12:59 , AIR12 , 2000-01-01 , 15:46
LEG_01_6 , BASE2 , 2000-01-01 , 14:21 , AIR6 , 2000-01-01 , 16:54
LEG_01_31 , BASE2 , 2000-01-01 , 16:13 , AIR3 , 2000-01-01 , 16:59
LEG_01_26 , BASE2 , 2000-01-01 , 17:47 , AIR2 , 2000-01-01 , 18:34
LEG_01_21 , BASE2 , 2000-01-01 , 17:56 , AIR5 , 2000-01-01 , 19:10
LEG_01_3 , BASE2 , 2000-01-01 , 19:24 , AIR2 , 2000-01-01 , 20:15
LEG_01_29 , BASE2 , 2000-01-01 , 21:06 , AIR4 , 2000-01-01 , 22:06
LEG_01_14 , BASE2 , 2000-01-01 , 21:16 , AIR11 , 2000-01-01 , 23:06
LEG_01_9 , BASE2 , 2000-01-01 , 21:19 , AIR7 , 2000-01-01 , 23:04
LEG_01_5 , BASE2 , 2000-01-01 , 23:11 , AIR4 , 2000-01-02 , 0:22
LEG_01_32 , BASE2 , 2000-01-01 , 23:26 , AIR8 , 2000-01-02 , 2:33
LEG_02_25 , BASE2 , 2000-01-02 , 1:04 , AIR12 , 2000-01-02 , 3:46
LEG_02_3 , BASE2 , 2000-01-02 , 10:41 , AIR13 , 2000-01-02 , 12:22
LEG_02_30 , BASE2 , 2000-01-02 , 12:59 , AIR12 , 2000-01-02 , 15:46
LEG_02_6 , BASE2 , 2000-01-02 , 14:21 , AIR6 , 2000-01-02 , 16:54
LEG_02_31 , BASE2 , 2000-01-02 , 16:13 , AIR3 , 2000-01-02 , 16:59
LEG_02_26 , BASE2 , 2000-01-02 , 17:47 , AIR2 , 2000-01-02 , 18:34
LEG_02_21 , BASE2 , 2000-01-02 , 17:56 , AIR5 , 2000-01-02 , 19:10
LEG_02_1 , BASE2 , 2000-01-02 , 19:24 , AIR2 , 2000-01-02 , 20:15
LEG_02_29 , BASE2 , 2000-01-02 , 21:06 , AIR4 , 2000-01-02 , 22:06
LEG_02_14 , BASE2 , 2000-01-02 , 21:16 , AIR11 , 2000-01-02 , 23:06
LEG_02_9 , BASE2 , 2000-01-02 , 21:19 , AIR7 , 2000-01-02 , 23:04
LEG_02_5 , BASE2 , 2000-01-02 , 23:11 , AIR4 , 2000-01-03 , 0:22
LEG_02_33 , BASE2 , 2000-01-02 , 23:26 , AIR8 , 2000-01-03 , 2:33
LEG_03_25 , BASE2 , 2000-01-03 , 1:04 , AIR12 , 2000-01-03 , 3:46
LEG_03_3 , BASE2 , 2000-01-03 , 10:41 , AIR13 , 2000-01-03 , 12:22
LEG_03_30 , BASE2 , 2000-01-03 , 12:59 , AIR12 , 2000-01-03 , 15:46
LEG_03_6 , BASE2 , 2000-01-03 , 14:21 , AIR6 , 2000-01-03 , 16:54
LEG_03_31 , BASE2 , 2000-01-03 , 16:13 , AIR3 , 2000-01-03 , 16:59
LEG_03_26 , BASE2 , 2000-01-03 , 17:47 , AIR2 , 2000-01-03 , 18:34
LEG_03_21 , BASE2 , 2000-01-03 , 17:56 , AIR5 , 2000-01-03 , 19:10
LEG_03_1 , BASE2 , 2000-01-03 , 19:24 , AIR2 , 2000-01-03 , 20:15
LEG_03_29 , BASE2 , 2000-01-03 , 21:06 , AIR4 , 2000-01-03 , 22:06
LEG_03_14 , BASE2 , 2000-01-03 , 21:16 , AIR11 , 2000-01-03 , 23:06
LEG_03_9 , BASE2 , 2000-01-03 , 21:19 , AIR7 , 2000-01-03 , 23:04
LEG_03_5 , BASE2 , 2000-01-03 , 23:11 , AIR4 , 2000-01-04 , 0:22
LEG_03_33 , BASE2 , 2000-01-03 , 23:26 , AIR8 , 2000-01-04 , 2:33
LEG_04_25 , BASE2 , 2000-01-04 , 1:04 , AIR12 , 2000-01-04 , 3:46
LEG_04_3 , BASE2 , 2000-01-04 , 10:41 , AIR13 , 2000-01-04 , 12:22
LEG_04_30 , BASE2 , 2000-01-04 , 12:59 , AIR12 , 2000-01-04 , 15:46
LEG_04_6 , BASE2 , 2000-01-04 , 14:21 , AIR6 , 2000-01-04 , 16:54
LEG_04_31 , BASE2 , 2000-01-04 , 16:13 , AIR3 , 2000-01-04 , 16:59
LEG_04_26 , BASE2 , 2000-01-04 , 17:47 , AIR2 , 2000-01-04 , 18:34
LEG_04_21 , BASE2 , 2000-01-04 , 17:56 , AIR5 , 2000-01-04 , 19:10
LEG_04_1 , BASE2 , 2000-01-04 , 19:24 , AIR2 , 2000-01-04 , 20:15
LEG_04_29 , BASE2 , 2000-01-04 , 21:06 , AIR4 , 2000-01-04 , 22:06
LEG_04_14 , BASE2 , 2000-01-04 , 21:16 , AIR11 , 2000-01-04 , 23:06
LEG_04_9 , BASE2 , 2000-01-04 , 21:19 , AIR7 , 2000-01-04 , 23:04
LEG_04_5 , BASE2 , 2000-01-04 , 23:11 , AIR4 , 2000-01-05 , 0:22
LEG_04_33 , BASE2 , 2000-01-04 , 23:26 , AIR8 , 2000-01-05 , 2:33
LEG_05_22 , BASE2 , 2000-01-05 , 1:04 , AIR12 , 2000-01-05 , 3:46
LEG_05_2 , BASE2 , 2000-01-05 , 10:41 , AIR13 , 2000-01-05 , 12:22
LEG_05_26 , BASE2 , 2000-01-05 , 12:59 , AIR12 , 2000-01-05 , 15:46
LEG_05_4 , BASE2 , 2000-01-05 , 14:21 , AIR6 , 2000-01-05 , 16:54
LEG_05_27 , BASE2 , 2000-01-05 , 16:13 , AIR3 , 2000-01-05 , 16:59
LEG_05_23 , BASE2 , 2000-01-05 , 17:47 , AIR2 , 2000-01-05 , 18:34
LEG_05_18 , BASE2 , 2000-01-05 , 17:56 , AIR5 , 2000-01-05 , 19:10
LEG_05_29 , BASE2 , 2000-01-05 , 19:21 , AIR8 , 2000-01-05 , 22:27
LEG_05_21 , BASE2 , 2000-01-05 , 20:57 , AIR14 , 2000-01-05 , 21:48
LEG_06_22 , BASE2 , 2000-01-06 , 1:04 , AIR12 , 2000-01-06 , 3:46
LEG_06_27 , BASE2 , 2000-01-06 , 12:59 , AIR12 , 2000-01-06 , 15:46
LEG_06_28 , BASE2 , 2000-01-06 , 16:13 , AIR3 , 2000-01-06 , 16:59
LEG_06_23 , BASE2 , 2000-01-06 , 17:47 , AIR2 , 2000-01-06 , 18:34
LEG_06_29 , BASE2 , 2000-01-06 , 17:53 , AIR15 , 2000-01-06 , 19:45
LEG_06_18 , BASE2 , 2000-01-06 , 17:56 , AIR5 , 2000-01-06 , 19:10
LEG_06_3 , BASE2 , 2000-01-06 , 19:24 , AIR2 , 2000-01-06 , 20:15
LEG_06_26 , BASE2 , 2000-01-06 , 21:06 , AIR4 , 2000-01-06 , 22:06
LEG_06_6 , BASE2 , 2000-01-06 , 21:19 , AIR7 , 2000-01-06 , 23:04
LEG_06_5 , BASE2 , 2000-01-06 , 23:11 , AIR4 , 2000-01-07 , 0:22
LEG_06_30 , BASE2 , 2000-01-06 , 23:26 , AIR8 , 2000-01-07 , 2:33
LEG_07_25 , BASE2 , 2000-01-07 , 1:04 , AIR12 , 2000-01-07 , 3:46
LEG_07_30 , BASE2 , 2000-01-07 , 12:59 , AIR12 , 2000-01-07 , 15:46
LEG_07_6 , BASE2 , 2000-01-07 , 14:21 , AIR6 , 2000-01-07 , 16:54
LEG_07_31 , BASE2 , 2000-01-07 , 16:13 , AIR3 , 2000-01-07 , 16:59
LEG_07_26 , BASE2 , 2000-01-07 , 17:47 , AIR2 , 2000-01-07 , 18:34
LEG_07_21 , BASE2 , 2000-01-07 , 17:56 , AIR5 , 2000-01-07 , 19:10
LEG_07_3 , BASE2 , 2000-01-07 , 19:24 , AIR2 , 2000-01-07 , 20:15
LEG_07_29 , BASE2 , 2000-01-07 , 21:06 , AIR4 , 2000-01-07 , 22:06
LEG_07_14 , BASE2 , 2000-01-07 , 21:16 , AIR11 , 2000-01-07 , 23:06
LEG_07_9 , BASE2 , 2000-01-07 , 21:19 , AIR7 , 2000-01-07 , 23:04
LEG_07_5 , BASE2 , 2000-01-07 , 23:11 , AIR4 , 2000-01-08 , 0:22
LEG_07_33 , BASE2 , 2000-01-07 , 23:26 , AIR8 , 2000-01-08 , 2:33
LEG_08_25 , BASE2 , 2000-01-08 , 1:04 , AIR12 , 2000-01-08 , 3:46
LEG_08_3 , BASE2 , 2000-01-08 , 10:41 , AIR13 , 2000-01-08 , 12:22
LEG_08_30 , BASE2 , 2000-01-08 , 12:59 , AIR12 , 2000-01-08 , 15:46
LEG_08_6 , BASE2 , 2000-01-08 , 14:21 , AIR6 , 2000-01-08 , 16:54
LEG_08_31 , BASE2 , 2000-01-08 , 16:13 , AIR3 , 2000-01-08 , 16:59
LEG_08_26 , BASE2 , 2000-01-08 , 17:47 , AIR2 , 2000-01-08 , 18:34
LEG_08_21 , BASE2 , 2000-01-08 , 17:56 , AIR5 , 2000-01-08 , 19:10
LEG_08_1 , BASE2 , 2000-01-08 , 19:24 , AIR2 , 2000-01-08 , 20:15
LEG_08_29 , BASE2 , 2000-01-08 , 21:06 , AIR4 , 2000-01-08 , 22:06
LEG_08_14 , BASE2 , 2000-01-08 , 21:16 , AIR11 , 2000-01-08 , 23:06
LEG_08_9 , BASE2 , 2000-01-08 , 21:19 , AIR7 , 2000-01-08 , 23:04
LEG_08_5 , BASE2 , 2000-01-08 , 23:11 , AIR4 , 2000-01-09 , 0:22
LEG_08_33 , BASE2 , 2000-01-08 , 23:26 , AIR8 , 2000-01-09 , 2:33
LEG_09_25 , BASE2 , 2000-01-09 , 1:04 , AIR12 , 2000-01-09 , 3:46
LEG_09_3 , BASE2 , 2000-01-09 , 10:41 , AIR13 , 2000-01-09 , 12:22
LEG_09_30 , BASE2 , 2000-01-09 , 12:59 , AIR12 , 2000-01-09 , 15:46
LEG_09_6 , BASE2 , 2000-01-09 , 14:21 , AIR6 , 2000-01-09 , 16:54
LEG_09_31 , BASE2 , 2000-01-09 , 16:13 , AIR3 , 2000-01-09 , 16:59
LEG_09_26 , BASE2 , 2000-01-09 , 17:47 , AIR2 , 2000-01-09 , 18:34
LEG_09_21 , BASE2 , 2000-01-09 , 17:56 , AIR5 , 2000-01-09 , 19:10
LEG_09_1 , BASE2 , 2000-01-09 , 19:24 , AIR2 , 2000-01-09 , 20:15
LEG_09_29 , BASE2 , 2000-01-09 , 21:06 , AIR4 , 2000-01-09 , 22:06
LEG_09_14 , BASE2 , 2000-01-09 , 21:16 , AIR11 , 2000-01-09 , 23:06
LEG_09_9 , BASE2 , 2000-01-09 , 21:19 , AIR7 , 2000-01-09 , 23:04
LEG_09_5 , BASE2 , 2000-01-09 , 23:11 , AIR4 , 2000-01-10 , 0:22
LEG_09_33 , BASE2 , 2000-01-09 , 23:26 , AIR8 , 2000-01-10 , 2:33
LEG_10_25 , BASE2 , 2000-01-10 , 1:04 , AIR12 , 2000-01-10 , 3:46
LEG_10_3 , BASE2 , 2000-01-10 , 10:41 , AIR13 , 2000-01-10 , 12:22
LEG_10_30 , BASE2 , 2000-01-10 , 12:59 , AIR12 , 2000-01-10 , 15:46
LEG_10_6 , BASE2 , 2000-01-10 , 14:21 , AIR6 , 2000-01-10 , 16:54
LEG_10_31 , BASE2 , 2000-01-10 , 16:13 , AIR3 , 2000-01-10 , 16:59
LEG_10_26 , BASE2 , 2000-01-10 , 17:47 , AIR2 , 2000-01-10 , 18:34
LEG_10_21 , BASE2 , 2000-01-10 , 17:56 , AIR5 , 2000-01-10 , 19:10
LEG_10_1 , BASE2 , 2000-01-10 , 19:24 , AIR2 , 2000-01-10 , 20:15
LEG_10_29 , BASE2 , 2000-01-10 , 21:06 , AIR4 , 2000-01-10 , 22:06
LEG_10_14 , BASE2 , 2000-01-10 , 21:16 , AIR11 , 2000-01-10 , 23:06
LEG_10_9 , BASE2 , 2000-01-10 , 21:19 , AIR7 , 2000-01-10 , 23:04
LEG_10_5 , BASE2 , 2000-01-10 , 23:11 , AIR4 , 2000-01-11 , 0:22
LEG_10_33 , BASE2 , 2000-01-10 , 23:26 , AIR8 , 2000-01-11 , 2:33
LEG_11_25 , BASE2 , 2000-01-11 , 1:04 , AIR12 , 2000-01-11 , 3:46
LEG_11_3 , BASE2 , 2000-01-11 , 10:41 , AIR13 , 2000-01-11 , 12:22
LEG_11_30 , BASE2 , 2000-01-11 , 12:59 , AIR12 , 2000-01-11 , 15:46
LEG_11_6 , BASE2 , 2000-01-11 , 14:21 , AIR6 , 2000-01-11 , 16:54
LEG_11_31 , BASE2 , 2000-01-11 , 16:13 , AIR3 , 2000-01-11 , 16:59
LEG_11_26 , BASE2 , 2000-01-11 , 17:47 , AIR2 , 2000-01-11 , 18:34
LEG_11_21 , BASE2 , 2000-01-11 , 17:56 , AIR5 , 2000-01-11 , 19:10
LEG_11_1 , BASE2 , 2000-01-11 , 19:24 , AIR2 , 2000-01-11 , 20:15
LEG_11_29 , BASE2 , 2000-01-11 , 21:06 , AIR4 , 2000-01-11 , 22:06
LEG_11_14 , BASE2 , 2000-01-11 , 21:16 , AIR11 , 2000-01-11 , 23:06
LEG_11_9 , BASE2 , 2000-01-11 , 21:19 , AIR7 , 2000-01-11 , 23:04
LEG_11_5 , BASE2 , 2000-01-11 , 23:11 , AIR4 , 2000-01-12 , 0:22
LEG_11_33 , BASE2 , 2000-01-11 , 23:26 , AIR8 , 2000-01-12 , 2:33
LEG_12_22 , BASE2 , 2000-01-12 , 1:04 , AIR12 , 2000-01-12 , 3:46
LEG_12_2 , BASE2 , 2000-01-12 , 10:41 , AIR13 , 2000-01-12 , 12:22
LEG_12_26 , BASE2 , 2000-01-12 , 12:59 , AIR12 , 2000-01-12 , 15:46
LEG_12_4 , BASE2 , 2000-01-12 , 14:21 , AIR6 , 2000-01-12 , 16:54
LEG_12_27 , BASE2 , 2000-01-12 , 16:13 , AIR3 , 2000-01-12 , 16:59
LEG_12_23 , BASE2 , 2000-01-12 , 17:47 , AIR2 , 2000-01-12 , 18:34
LEG_12_18 , BASE2 , 2000-01-12 , 17:56 , AIR5 , 2000-01-12 , 19:10
LEG_12_29 , BASE2 , 2000-01-12 , 19:21 , AIR8 , 2000-01-12 , 22:27
LEG_12_21 , BASE2 , 2000-01-12 , 20:57 , AIR14 , 2000-01-12 , 21:48
LEG_13_22 , BASE2 , 2000-01-13 , 1:04 , AIR12 , 2000-01-13 , 3:46
LEG_13_27 , BASE2 , 2000-01-13 , 12:59 , AIR12 , 2000-01-13 , 15:46
LEG_13_28 , BASE2 , 2000-01-13 , 16:13 , AIR3 , 2000-01-13 , 16:59
LEG_13_23 , BASE2 , 2000-01-13 , 17:47 , AIR2 , 2000-01-13 , 18:34
LEG_13_29 , BASE2 , 2000-01-13 , 17:53 , AIR15 , 2000-01-13 , 19:45
LEG_13_18 , BASE2 , 2000-01-13 , 17:56 , AIR5 , 2000-01-13 , 19:10
LEG_13_3 , BASE2 , 2000-01-13 , 19:24 , AIR2 , 2000-01-13 , 20:15
LEG_13_26 , BASE2 , 2000-01-13 , 21:06 , AIR4 , 2000-01-13 , 22:06
LEG_13_6 , BASE2 , 2000-01-13 , 21:19 , AIR7 , 2000-01-13 , 23:04
LEG_13_5 , BASE2 , 2000-01-13 , 23:11 , AIR4 , 2000-01-14 , 0:22
LEG_13_30 , BASE2 , 2000-01-13 , 23:26 , AIR8 , 2000-01-14 , 2:33
LEG_14_26 , BASE2 , 2000-01-14 , 1:04 , AIR12 , 2000-01-14 , 3:46
LEG_14_31 , BASE2 , 2000-01-14 , 12:59 , AIR12 , 2000-01-14 , 15:46
LEG_14_8 , BASE2 , 2000-01-14 , 14:21 , AIR6 , 2000-01-14 , 16:54
LEG_14_32 , BASE2 , 2000-01-14 , 16:13 , AIR3 , 2000-01-14 , 16:59
LEG_14_27 , BASE2 , 2000-01-14 , 17:47 , AIR2 , 2000-01-14 , 18:34
LEG_14_22 , BASE2 , 2000-01-14 , 17:56 , AIR5 , 2000-01-14 , 19:10
LEG_14_5 , BASE2 , 2000-01-14 , 19:24 , AIR2 , 2000-01-14 , 20:15
LEG_14_30 , BASE2 , 2000-01-14 , 21:06 , AIR4 , 2000-01-14 , 22:06
LEG_14_3 , BASE2 , 2000-01-14 , 21:07 , AIR17 , 2000-01-14 , 22:11
LEG_14_15 , BASE2 , 2000-01-14 , 21:16 , AIR11 , 2000-01-14 , 23:06
LEG_14_7 , BASE2 , 2000-01-14 , 23:11 , AIR4 , 2000-01-15 , 0:22
LEG_14_34 , BASE2 , 2000-01-14 , 23:26 , AIR8 , 2000-01-15 , 2:33
LEG_15_17 , BASE2 , 2000-01-15 , 0:59 , AIR2 , 2000-01-15 , 1:52
LEG_15_3 , BASE2 , 2000-01-15 , 10:41 , AIR13 , 2000-01-15 , 12:22
LEG_15_27 , BASE2 , 2000-01-15 , 13:12 , AIR17 , 2000-01-15 , 14:25
LEG_15_7 , BASE2 , 2000-01-15 , 14:21 , AIR6 , 2000-01-15 , 16:54
LEG_15_30 , BASE2 , 2000-01-15 , 16:13 , AIR3 , 2000-01-15 , 16:59
LEG_15_23 , BASE2 , 2000-01-15 , 17:47 , AIR2 , 2000-01-15 , 18:34
LEG_15_29 , BASE2 , 2000-01-15 , 17:56 , AIR5 , 2000-01-15 , 19:10
LEG_15_1 , BASE2 , 2000-01-15 , 19:24 , AIR2 , 2000-01-15 , 20:15
LEG_15_16 , BASE2 , 2000-01-15 , 21:06 , AIR4 , 2000-01-15 , 22:06
LEG_15_10 , BASE2 , 2000-01-15 , 21:16 , AIR11 , 2000-01-15 , 23:06
LEG_15_5 , BASE2 , 2000-01-15 , 23:11 , AIR4 , 2000-01-16 , 0:22
LEG_15_31 , BASE2 , 2000-01-15 , 23:26 , AIR8 , 2000-01-16 , 2:33
LEG_16_17 , BASE2 , 2000-01-16 , 0:59 , AIR2 , 2000-01-16 , 1:52
LEG_16_3 , BASE2 , 2000-01-16 , 10:41 , AIR13 , 2000-01-16 , 12:22
LEG_16_27 , BASE2 , 2000-01-16 , 13:12 , AIR17 , 2000-01-16 , 14:25
LEG_16_7 , BASE2 , 2000-01-16 , 14:21 , AIR6 , 2000-01-16 , 16:54
LEG_16_30 , BASE2 , 2000-01-16 , 16:13 , AIR3 , 2000-01-16 , 16:59
LEG_16_23 , BASE2 , 2000-01-16 , 17:47 , AIR2 , 2000-01-16 , 18:34
LEG_16_29 , BASE2 , 2000-01-16 , 17:56 , AIR5 , 2000-01-16 , 19:10
LEG_16_1 , BASE2 , 2000-01-16 , 19:24 , AIR2 , 2000-01-16 , 20:15
LEG_16_16 , BASE2 , 2000-01-16 , 21:06 , AIR4 , 2000-01-16 , 22:06
LEG_16_10 , BASE2 , 2000-01-16 , 21:16 , AIR11 , 2000-01-16 , 23:06
LEG_16_5 , BASE2 , 2000-01-16 , 23:11 , AIR4 , 2000-01-17 , 0:22
LEG_16_31 , BASE2 , 2000-01-16 , 23:26 , AIR8 , 2000-01-17 , 2:33
LEG_17_17 , BASE2 , 2000-01-17 , 0:59 , AIR2 , 2000-01-17 , 1:52
LEG_17_3 , BASE2 , 2000-01-17 , 10:41 , AIR13 , 2000-01-17 , 12:22
LEG_17_27 , BASE2 , 2000-01-17 , 13:12 , AIR17 , 2000-01-17 , 14:25
LEG_17_7 , BASE2 , 2000-01-17 , 14:21 , AIR6 , 2000-01-17 , 16:54
LEG_17_30 , BASE2 , 2000-01-17 , 16:13 , AIR3 , 2000-01-17 , 16:59
LEG_17_23 , BASE2 , 2000-01-17 , 17:47 , AIR2 , 2000-01-17 , 18:34
LEG_17_29 , BASE2 , 2000-01-17 , 17:56 , AIR5 , 2000-01-17 , 19:10
LEG_17_1 , BASE2 , 2000-01-17 , 19:24 , AIR2 , 2000-01-17 , 20:15
LEG_17_16 , BASE2 , 2000-01-17 , 21:06 , AIR4 , 2000-01-17 , 22:06
LEG_17_10 , BASE2 , 2000-01-17 , 21:16 , AIR11 , 2000-01-17 , 23:06
LEG_17_5 , BASE2 , 2000-01-17 , 23:11 , AIR4 , 2000-01-18 , 0:22
LEG_17_31 , BASE2 , 2000-01-17 , 23:26 , AIR8 , 2000-01-18 , 2:33
LEG_18_17 , BASE2 , 2000-01-18 , 0:59 , AIR2 , 2000-01-18 , 1:52
LEG_18_3 , BASE2 , 2000-01-18 , 10:41 , AIR13 , 2000-01-18 , 12:22
LEG_18_27 , BASE2 , 2000-01-18 , 13:12 , AIR17 , 2000-01-18 , 14:25
LEG_18_7 , BASE2 , 2000-01-18 , 14:21 , AIR6 , 2000-01-18 , 16:54
