#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_01_0 , BASE1 , 2000-01-01 , 12:00 , AIR1 , 2000-01-01 , 13:13
LEG_09_12 , BASE1 , 2000-01-09 , 18:30 , AIR9 , 2000-01-09 , 21:36
LEG_09_17 , BASE1 , 2000-01-09 , 22:01 , AIR10 , 2000-01-10 , 0:47
LEG_10_11 , BASE1 , 2000-01-10 , 15:24 , AIR9 , 2000-01-10 , 18:32
LEG_10_12 , BASE1 , 2000-01-10 , 18:30 , AIR9 , 2000-01-10 , 21:36
LEG_10_17 , BASE1 , 2000-01-10 , 22:01 , AIR10 , 2000-01-11 , 0:47
LEG_11_11 , BASE1 , 2000-01-11 , 15:24 , AIR9 , 2000-01-11 , 18:32
LEG_11_12 , BASE1 , 2000-01-11 , 18:30 , AIR9 , 2000-01-11 , 21:36
LEG_11_17 , BASE1 , 2000-01-11 , 22:01 , AIR10 , 2000-01-12 , 0:47
LEG_12_8 , BASE1 , 2000-01-12 , 15:24 , AIR9 , 2000-01-12 , 18:32
LEG_12_9 , BASE1 , 2000-01-12 , 18:30 , AIR9 , 2000-01-12 , 21:36
LEG_12_14 , BASE1 , 2000-01-12 , 22:01 , AIR10 , 2000-01-13 , 0:47
LEG_13_1 , BASE1 , 2000-01-13 , 12:18 , AIR16 , 2000-01-13 , 13:47
LEG_13_8 , BASE1 , 2000-01-13 , 15:24 , AIR9 , 2000-01-13 , 18:32
LEG_13_9 , BASE1 , 2000-01-13 , 18:30 , AIR9 , 2000-01-13 , 21:36
LEG_13_14 , BASE1 , 2000-01-13 , 22:01 , AIR10 , 2000-01-14 , 0:47
LEG_14_0 , BASE1 , 2000-01-14 , 12:00 , AIR1 , 2000-01-14 , 13:13
LEG_14_12 , BASE1 , 2000-01-14 , 15:24 , AIR9 , 2000-01-14 , 18:32
LEG_14_13 , BASE1 , 2000-01-14 , 18:30 , AIR9 , 2000-01-14 , 21:36
LEG_14_18 , BASE1 , 2000-01-14 , 22:01 , AIR10 , 2000-01-15 , 0:47
LEG_01_30 , BASE2 , 2000-01-01 , 12:59 , AIR12 , 2000-01-01 , 15:46
LEG_01_6 , BASE2 , 2000-01-01 , 14:21 , AIR6 , 2000-01-01 , 16:54
LEG_01_31 , BASE2 , 2000-01-01 , 16:13 , AIR3 , 2000-01-01 , 16:59
LEG_01_26 , BASE2 , 2000-01-01 , 17:47 , AIR2 , 2000-01-01 , 18:34
LEG_01_21 , BASE2 , 2000-01-01 , 17:56 , AIR5 , 2000-01-01 , 19:10
LEG_01_3 , BASE2 , 2000-01-01 , 19:24 , AIR2 , 2000-01-01 , 20:15
LEG_01_29 , BASE2 , 2000-01-01 , 21:06 , AIR4 , 2000-01-01 , 22:06
LEG_01_14 , BASE2 , 2000-01-01 , 21:16 , AIR11 , 2000-01-01 , 23:06
LEG_01_9 , BASE2 , 2000-01-01 , 21:19 , AIR7 , 2000-01-01 , 23:04
LEG_01_5 , BASE2 , 2000-01-01 , 23:11 , AIR4 , 2000-01-02 , 0:22
LEG_01_32 , BASE2 , 2000-01-01 , 23:26 , AIR8 , 2000-01-02 , 2:33
LEG_02_25 , BASE2 , 2000-01-02 , 1:04 , AIR12 , 2000-01-02 , 3:46
LEG_02_3 , BASE2 , 2000-01-02 , 10:41 , AIR13 , 2000-01-02 , 12:22
LEG_02_30 , BASE2 , 2000-01-02 , 12:59 , AIR12 , 2000-01-02 , 15:46
LEG_02_6 , BASE2 , 2000-01-02 , 14:21 , AIR6 , 2000-01-02 , 16:54
LEG_02_31 , BASE2 , 2000-01-02 , 16:13 , AIR3 , 2000-01-02 , 16:59
LEG_02_26 , BASE2 , 2000-01-02 , 17:47 , AIR2 , 2000-01-02 , 18:34
LEG_02_21 , BASE2 , 2000-01-02 , 17:56 , AIR5 , 2000-01-02 , 19:10
LEG_02_1 , BASE2 , 2000-01-02 , 19:24 , AIR2 , 2000-01-02 , 20:15
LEG_02_29 , BASE2 , 2000-01-02 , 21:06 , AIR4 , 2000-01-02 , 22:06
LEG_02_14 , BASE2 , 2000-01-02 , 21:16 , AIR11 , 2000-01-02 , 23:06
LEG_02_9 , BASE2 , 2000-01-02 , 21:19 , AIR7 , 2000-01-02 , 23:04
LEG_02_5 , BASE2 , 2000-01-02 , 23:11 , AIR4 , 2000-01-03 , 0:22
LEG_02_33 , BASE2 , 2000-01-02 , 23:26 , AIR8 , 2000-01-03 , 2:33
LEG_03_25 , BASE2 , 2000-01-03 , 1:04 , AIR12 , 2000-01-03 , 3:46
LEG_03_3 , BASE2 , 2000-01-03 , 10:41 , AIR13 , 2000-01-03 , 12:22
LEG_03_30 , BASE2 , 2000-01-03 , 12:59 , AIR12 , 2000-01-03 , 15:46
LEG_03_6 , BASE2 , 2000-01-03 , 14:21 , AIR6 , 2000-01-03 , 16:54
LEG_03_31 , BASE2 , 2000-01-03 , 16:13 , AIR3 , 2000-01-03 , 16:59
LEG_03_26 , BASE2 , 2000-01-03 , 17:47 , AIR2 , 2000-01-03 , 18:34
LEG_03_21 , BASE2 , 2000-01-03 , 17:56 , AIR5 , 2000-01-03 , 19:10
LEG_03_1 , BASE2 , 2000-01-03 , 19:24 , AIR2 , 2000-01-03 , 20:15
LEG_03_29 , BASE2 , 2000-01-03 , 21:06 , AIR4 , 2000-01-03 , 22:06
LEG_03_14 , BASE2 , 2000-01-03 , 21:16 , AIR11 , 2000-01-03 , 23:06
LEG_03_9 , BASE2 , 2000-01-03 , 21:19 , AIR7 , 2000-01-03 , 23:04
LEG_03_5 , BASE2 , 2000-01-03 , 23:11 , AIR4 , 2000-01-04 , 0:22
LEG_03_33 , BASE2 , 2000-01-03 , 23:26 , AIR8 , 2000-01-04 , 2:33
LEG_04_25 , BASE2 , 2000-01-04 , 1:04 , AIR12 , 2000-01-04 , 3:46
LEG_04_3 , BASE2 , 2000-01-04 , 10:41 , AIR13 , 2000-01-04 , 12:22
LEG_04_30 , BASE2 , 2000-01-04 , 12:59 , AIR12 , 2000-01-04 , 15:46
LEG_04_6 , BASE2 , 2000-01-04 , 14:21 , AIR6 , 2000-01-04 , 16:54
LEG_04_31 , BASE2 , 2000-01-04 , 16:13 , AIR3 , 2000-01-04 , 16:59
LEG_04_26 , BASE2 , 2000-01-04 , 17:47 , AIR2 , 2000-01-04 , 18:34
LEG_04_21 , BASE2 , 2000-01-04 , 17:56 , AIR5 , 2000-01-04 , 19:10
LEG_04_1 , BASE2 , 2000-01-04 , 19:24 , AIR2 , 2000-01-04 , 20:15
LEG_04_29 , BASE2 , 2000-01-04 , 21:06 , AIR4 , 2000-01-04 , 22:06
LEG_04_14 , BASE2 , 2000-01-04 , 21:16 , AIR11 , 2000-01-04 , 23:06
LEG_04_9 , BASE2 , 2000-01-04 , 21:19 , AIR7 , 2000-01-04 , 23:04
LEG_04_5 , BASE2 , 2000-01-04 , 23:11 , AIR4 , 2000-01-05 , 0:22
LEG_04_33 , BASE2 , 2000-01-04 , 23:26 , AIR8 , 2000-01-05 , 2:33
LEG_05_22 , BASE2 , 2000-01-05 , 1:04 , AIR12 , 2000-01-05 , 3:46
LEG_05_2 , BASE2 , 2000-01-05 , 10:41 , AIR13 , 2000-01-05 , 12:22
LEG_05_26 , BASE2 , 2000-01-05 , 12:59 , AIR12 , 2000-01-05 , 15:46
LEG_05_4 , BASE2 , 2000-01-05 , 14:21 , AIR6 , 2000-01-05 , 16:54
LEG_05_27 , BASE2 , 2000-01-05 , 16:13 , AIR3 , 2000-01-05 , 16:59
LEG_05_23 , BASE2 , 2000-01-05 , 17:47 , AIR2 , 2000-01-05 , 18:34
LEG_05_18 , BASE2 , 2000-01-05 , 17:56 , AIR5 , 2000-01-05 , 19:10
LEG_05_29 , BASE2 , 2000-01-05 , 19:21 , AIR8 , 2000-01-05 , 22:27
LEG_05_21 , BASE2 , 2000-01-05 , 20:57 , AIR14 , 2000-01-05 , 21:48
LEG_06_22 , BASE2 , 2000-01-06 , 1:04 , AIR12 , 2000-01-06 , 3:46
LEG_06_27 , BASE2 , 2000-01-06 , 12:59 , AIR12 , 2000-01-06 , 15:46
LEG_06_28 , BASE2 , 2000-01-06 , 16:13 , AIR3 , 2000-01-06 , 16:59
LEG_06_23 , BASE2 , 2000-01-06 , 17:47 , AIR2 , 2000-01-06 , 18:34
LEG_06_29 , BASE2 , 2000-01-06 , 17:53 , AIR15 , 2000-01-06 , 19:45
LEG_06_18 , BASE2 , 2000-01-06 , 17:56 , AIR5 , 2000-01-06 , 19:10
LEG_06_3 , BASE2 , 2000-01-06 , 19:24 , AIR2 , 2000-01-06 , 20:15
LEG_06_26 , BASE2 , 2000-01-06 , 21:06 , AIR4 , 2000-01-06 , 22:06
LEG_06_6 , BASE2 , 2000-01-06 , 21:19 , AIR7 , 2000-01-06 , 23:04
LEG_06_5 , BASE2 , 2000-01-06 , 23:11 , AIR4 , 2000-01-07 , 0:22
LEG_06_30 , BASE2 , 2000-01-06 , 23:26 , AIR8 , 2000-01-07 , 2:33
LEG_07_25 , BASE2 , 2000-01-07 , 1:04 , AIR12 , 2000-01-07 , 3:46
LEG_07_30 , BASE2 , 2000-01-07 , 12:59 , AIR12 , 2000-01-07 , 15:46
LEG_07_6 , BASE2 , 2000-01-07 , 14:21 , AIR6 , 2000-01-07 , 16:54
LEG_07_31 , BASE2 , 2000-01-07 , 16:13 , AIR3 , 2000-01-07 , 16:59
LEG_07_26 , BASE2 , 2000-01-07 , 17:47 , AIR2 , 2000-01-07 , 18:34
LEG_07_21 , BASE2 , 2000-01-07 , 17:56 , AIR5 , 2000-01-07 , 19:10
LEG_07_3 , BASE2 , 2000-01-07 , 19:24 , AIR2 , 2000-01-07 , 20:15
LEG_07_29 , BASE2 , 2000-01-07 , 21:06 , AIR4 , 2000-01-07 , 22:06
LEG_07_14 , BASE2 , 2000-01-07 , 21:16 , AIR11 , 2000-01-07 , 23:06
LEG_07_9 , BASE2 , 2000-01-07 , 21:19 , AIR7 , 2000-01-07 , 23:04
LEG_07_5 , BASE2 , 2000-01-07 , 23:11 , AIR4 , 2000-01-08 , 0:22
LEG_07_33 , BASE2 , 2000-01-07 , 23:26 , AIR8 , 2000-01-08 , 2:33
LEG_08_25 , BASE2 , 2000-01-08 , 1:04 , AIR12 , 2000-01-08 , 3:46
LEG_08_3 , BASE2 , 2000-01-08 , 10:41 , AIR13 , 2000-01-08 , 12:22
LEG_08_30 , BASE2 , 2000-01-08 , 12:59 , AIR12 , 2000-01-08 , 15:46
LEG_08_6 , BASE2 , 2000-01-08 , 14:21 , AIR6 , 2000-01-08 , 16:54
LEG_08_31 , BASE2 , 2000-01-08 , 16:13 , AIR3 , 2000-01-08 , 16:59
LEG_08_26 , BASE2 , 2000-01-08 , 17:47 , AIR2 , 2000-01-08 , 18:34
LEG_08_21 , BASE2 , 2000-01-08 , 17:56 , AIR5 , 2000-01-08 , 19:10
LEG_08_1 , BASE2 , 2000-01-08 , 19:24 , AIR2 , 2000-01-08 , 20:15
LEG_08_29 , BASE2 , 2000-01-08 , 21:06 , AIR4 , 2000-01-08 , 22:06
LEG_08_14 , BASE2 , 2000-01-08 , 21:16 , AIR11 , 2000-01-08 , 23:06
LEG_08_9 , BASE2 , 2000-01-08 , 21:19 , AIR7 , 2000-01-08 , 23:04
LEG_08_5 , BASE2 , 2000-01-08 , 23:11 , AIR4 , 2000-01-09 , 0:22
LEG_08_33 , BASE2 , 2000-01-08 , 23:26 , AIR8 , 2000-01-09 , 2:33
LEG_09_25 , BASE2 , 2000-01-09 , 1:04 , AIR12 , 2000-01-09 , 3:46
LEG_09_3 , BASE2 , 2000-01-09 , 10:41 , AIR13 , 2000-01-09 , 12:22
LEG_09_30 , BASE2 , 2000-01-09 , 12:59 , AIR12 , 2000-01-09 , 15:46
LEG_09_6 , BASE2 , 2000-01-09 , 14:21 , AIR6 , 2000-01-09 , 16:54
LEG_09_31 , BASE2 , 2000-01-09 , 16:13 , AIR3 , 2000-01-09 , 16:59
LEG_09_26 , BASE2 , 2000-01-09 , 17:47 , AIR2 , 2000-01-09 , 18:34
LEG_09_21 , BASE2 , 2000-01-09 , 17:56 , AIR5 , 2000-01-09 , 19:10
LEG_09_1 , BASE2 , 2000-01-09 , 19:24 , AIR2 , 2000-01-09 , 20:15
LEG_09_29 , BASE2 , 2000-01-09 , 21:06 , AIR4 , 2000-01-09 , 22:06
LEG_09_14 , BASE2 , 2000-01-09 , 21:16 , AIR11 , 2000-01-09 , 23:06
LEG_09_9 , BASE2 , 2000-01-09 , 21:19 , AIR7 , 2000-01-09 , 23:04
LEG_09_5 , BASE2 , 2000-01-09 , 23:11 , AIR4 , 2000-01-10 , 0:22
LEG_09_33 , BASE2 , 2000-01-09 , 23:26 , AIR8 , 2000-01-10 , 2:33
LEG_10_25 , BASE2 , 2000-01-10 , 1:04 , AIR12 , 2000-01-10 , 3:46
LEG_10_3 , BASE2 , 2000-01-10 , 10:41 , AIR13 , 2000-01-10 , 12:22
LEG_10_30 , BASE2 , 2000-01-10 , 12:59 , AIR12 , 2000-01-10 , 15:46
LEG_10_6 , BASE2 , 2000-01-10 , 14:21 , AIR6 , 2000-01-10 , 16:54
LEG_10_31 , BASE2 , 2000-01-10 , 16:13 , AIR3 , 2000-01-10 , 16:59
LEG_10_26 , BASE2 , 2000-01-10 , 17:47 , AIR2 , 2000-01-10 , 18:34
LEG_10_21 , BASE2 , 2000-01-10 , 17:56 , AIR5 , 2000-01-10 , 19:10
LEG_10_1 , BASE2 , 2000-01-10 , 19:24 , AIR2 , 2000-01-10 , 20:15
LEG_10_29 , BASE2 , 2000-01-10 , 21:06 , AIR4 , 2000-01-10 , 22:06
LEG_10_14 , BASE2 , 2000-01-10 , 21:16 , AIR11 , 2000-01-10 , 23:06
LEG_10_9 , BASE2 , 2000-01-10 , 21:19 , AIR7 , 2000-01-10 , 23:04
LEG_10_5 , BASE2 , 2000-01-10 , 23:11 , AIR4 , 2000-01-11 , 0:22
LEG_10_33 , BASE2 , 2000-01-10 , 23:26 , AIR8 , 2000-01-11 , 2:33
LEG_11_25 , BASE2 , 2000-01-11 , 1:04 , AIR12 , 2000-01-11 , 3:46
LEG_11_3 , BASE2 , 2000-01-11 , 10:41 , AIR13 , 2000-01-11 , 12:22
LEG_11_30 , BASE2 , 2000-01-11 , 12:59 , AIR12 , 2000-01-11 , 15:46
LEG_11_6 , BASE2 , 2000-01-11 , 14:21 , AIR6 , 2000-01-11 , 16:54
LEG_11_31 , BASE2 , 2000-01-11 , 16:13 , AIR3 , 2000-01-11 , 16:59
LEG_11_26 , BASE2 , 2000-01-11 , 17:47 , AIR2 , 2000-01-11 , 18:34
LEG_11_21 , BASE2 , 2000-01-11 , 17:56 , AIR5 , 2000-01-11 , 19:10
LEG_11_1 , BASE2 , 2000-01-11 , 19:24 , AIR2 , 2000-01-11 , 20:15
LEG_11_29 , BASE2 , 2000-01-11 , 21:06 , AIR4 , 2000-01-11 , 22:06
LEG_11_14 , BASE2 , 2000-01-11 , 21:16 , AIR11 , 2000-01-11 , 23:06
LEG_11_9 , BASE2 , 2000-01-11 , 21:19 , AIR7 , 2000-01-11 , 23:04
LEG_11_5 , BASE2 , 2000-01-11 , 23:11 , AIR4 , 2000-01-12 , 0:22
LEG_11_33 , BASE2 , 2000-01-11 , 23:26 , AIR8 , 2000-01-12 , 2:33
LEG_12_22 , BASE2 , 2000-01-12 , 1:04 , AIR12 , 2000-01-12 , 3:46
LEG_12_2 , BASE2 , 2000-01-12 , 10:41 , AIR13 , 2000-01-12 , 12:22
LEG_12_26 , BASE2 , 2000-01-12 , 12:59 , AIR12 , 2000-01-12 , 15:46
LEG_12_4 , BASE2 , 2000-01-12 , 14:21 , AIR6 , 2000-01-12 , 16:54
LEG_12_27 , BASE2 , 2000-01-12 , 16:13 , AIR3 , 2000-01-12 , 16:59
LEG_12_23 , BASE2 , 2000-01-12 , 17:47 , AIR2 , 2000-01-12 , 18:34
LEG_12_18 , BASE2 , 2000-01-12 , 17:56 , AIR5 , 2000-01-12 , 19:10
LEG_12_29 , BASE2 , 2000-01-12 , 19:21 , AIR8 , 2000-01-12 , 22:27
LEG_12_21 , BASE2 , 2000-01-12 , 20:57 , AIR14 , 2000-01-12 , 21:48
LEG_13_22 , BASE2 , 2000-01-13 , 1:04 , AIR12 , 2000-01-13 , 3:46
LEG_13_27 , BASE2 , 2000-01-13 , 12:59 , AIR12 , 2000-01-13 , 15:46
LEG_13_28 , BASE2 , 2000-01-13 , 16:13 , AIR3 , 2000-01-13 , 16:59
LEG_13_23 , BASE2 , 2000-01-13 , 17:47 , AIR2 , 2000-01-13 , 18:34
LEG_13_29 , BASE2 , 2000-01-13 , 17:53 , AIR15 , 2000-01-13 , 19:45
LEG_13_18 , BASE2 , 2000-01-13 , 17:56 , AIR5 , 2000-01-13 , 19:10
LEG_13_3 , BASE2 , 2000-01-13 , 19:24 , AIR2 , 2000-01-13 , 20:15
LEG_13_26 , BASE2 , 2000-01-13 , 21:06 , AIR4 , 2000-01-13 , 22:06
LEG_13_6 , BASE2 , 2000-01-13 , 21:19 , AIR7 , 2000-01-13 , 23:04
LEG_13_5 , BASE2 , 2000-01-13 , 23:11 , AIR4 , 2000-01-14 , 0:22
LEG_13_30 , BASE2 , 2000-01-13 , 23:26 , AIR8 , 2000-01-14 , 2:33
LEG_14_26 , BASE2 , 2000-01-14 , 1:04 , AIR12 , 2000-01-14 , 3:46
LEG_14_31 , BASE2 , 2000-01-14 , 12:59 , AIR12 , 2000-01-14 , 15:46
LEG_14_8 , BASE2 , 2000-01-14 , 14:21 , AIR6 , 2000-01-14 , 16:54
LEG_14_32 , BASE2 , 2000-01-14 , 16:13 , AIR3 , 2000-01-14 , 16:59
LEG_14_27 , BASE2 , 2000-01-14 , 17:47 , AIR2 , 2000-01-14 , 18:34
LEG_14_22 , BASE2 , 2000-01-14 , 17:56 , AIR5 , 2000-01-14 , 19:10
LEG_14_5 , BASE2 , 2000-01-14 , 19:24 , AIR2 , 2000-01-14 , 20:15
LEG_14_30 , BASE2 , 2000-01-14 , 21:06 , AIR4 , 2000-01-14 , 22:06
LEG_14_3 , BASE2 , 2000-01-14 , 21:07 , AIR17 , 2000-01-14 , 22:11
LEG_14_15 , BASE2 , 2000-01-14 , 21:16 , AIR11 , 2000-01-14 , 23:06
LEG_14_7 , BASE2 , 2000-01-14 , 23:11 , AIR4 , 2000-01-15 , 0:22
LEG_14_34 , BASE2 , 2000-01-14 , 23:26 , AIR8 , 2000-01-15 , 2:33
LEG_01_18 , BASE3 , 2000-01-01 , 14:05 , AIR9 , 2000-01-01 , 15:55
LEG_01_23 , BASE3 , 2000-01-01 , 22:20 , AIR6 , 2000-01-02 , 0:21
LEG_02_18 , BASE3 , 2000-01-02 , 14:05 , AIR9 , 2000-01-02 , 15:55
LEG_02_23 , BASE3 , 2000-01-02 , 22:20 , AIR6 , 2000-01-03 , 0:21
LEG_03_18 , BASE3 , 2000-01-03 , 14:05 , AIR9 , 2000-01-03 , 15:55
LEG_03_23 , BASE3 , 2000-01-03 , 22:20 , AIR6 , 2000-01-04 , 0:21
LEG_04_18 , BASE3 , 2000-01-04 , 14:05 , AIR9 , 2000-01-04 , 15:55
LEG_04_23 , BASE3 , 2000-01-04 , 22:20 , AIR6 , 2000-01-05 , 0:21
LEG_05_15 , BASE3 , 2000-01-05 , 14:05 , AIR9 , 2000-01-05 , 15:55
LEG_05_20 , BASE3 , 2000-01-05 , 22:20 , AIR6 , 2000-01-06 , 0:21
LEG_06_15 , BASE3 , 2000-01-06 , 14:05 , AIR9 , 2000-01-06 , 15:55
LEG_06_20 , BASE3 , 2000-01-06 , 22:20 , AIR6 , 2000-01-07 , 0:21
LEG_07_18 , BASE3 , 2000-01-07 , 14:05 , AIR9 , 2000-01-07 , 15:55
LEG_07_23 , BASE3 , 2000-01-07 , 22:20 , AIR6 , 2000-01-08 , 0:21
LEG_08_18 , BASE3 , 2000-01-08 , 14:05 , AIR9 , 2000-01-08 , 15:55
LEG_08_23 , BASE3 , 2000-01-08 , 22:20 , AIR6 , 2000-01-09 , 0:21
LEG_09_18 , BASE3 , 2000-01-09 , 14:05 , AIR9 , 2000-01-09 , 15:55
LEG_09_23 , BASE3 , 2000-01-09 , 22:20 , AIR6 , 2000-01-10 , 0:21
LEG_10_18 , BASE3 , 2000-01-10 , 14:05 , AIR9 , 2000-01-10 , 15:55
LEG_10_23 , BASE3 , 2000-01-10 , 22:20 , AIR6 , 2000-01-11 , 0:21
LEG_11_18 , BASE3 , 2000-01-11 , 14:05 , AIR9 , 2000-01-11 , 15:55
LEG_11_23 , BASE3 , 2000-01-11 , 22:20 , AIR6 , 2000-01-12 , 0:21
LEG_12_15 , BASE3 , 2000-01-12 , 14:05 , AIR9 , 2000-01-12 , 15:55
LEG_12_20 , BASE3 , 2000-01-12 , 22:20 , AIR6 , 2000-01-13 , 0:21
LEG_13_15 , BASE3 , 2000-01-13 , 14:05 , AIR9 , 2000-01-13 , 15:55
LEG_13_20 , BASE3 , 2000-01-13 , 22:20 , AIR6 , 2000-01-14 , 0:21
LEG_14_19 , BASE3 , 2000-01-14 , 14:05 , AIR9 , 2000-01-14 , 15:55
LEG_14_24 , BASE3 , 2000-01-14 , 22:20 , AIR6 , 2000-01-15 , 0:21
LEG_01_1 , AIR1 , 2000-01-01 , 14:05 , BASE2 , 2000-01-01 , 15:19
LEG_07_1 , AIR1 , 2000-01-07 , 14:05 , BASE2 , 2000-01-07 , 15:19
LEG_14_1 , AIR1 , 2000-01-14 , 14:05 , BASE2 , 2000-01-14 , 15:19
LEG_01_16 , AIR2 , 2000-01-01 , 19:30 , BASE1 , 2000-01-01 , 20:54
LEG_01_33 , AIR2 , 2000-01-01 , 21:00 , BASE2 , 2000-01-01 , 21:51
LEG_02_16 , AIR2 , 2000-01-02 , 19:30 , BASE1 , 2000-01-02 , 20:54
LEG_02_34 , AIR2 , 2000-01-02 , 21:00 , BASE2 , 2000-01-02 , 21:51
LEG_03_16 , AIR2 , 2000-01-03 , 19:30 , BASE1 , 2000-01-03 , 20:54
LEG_03_34 , AIR2 , 2000-01-03 , 21:00 , BASE2 , 2000-01-03 , 21:51
LEG_04_16 , AIR2 , 2000-01-04 , 19:30 , BASE1 , 2000-01-04 , 20:54
LEG_04_34 , AIR2 , 2000-01-04 , 21:00 , BASE2 , 2000-01-04 , 21:51
LEG_05_13 , AIR2 , 2000-01-05 , 19:30 , BASE1 , 2000-01-05 , 20:54
LEG_06_13 , AIR2 , 2000-01-06 , 19:30 , BASE1 , 2000-01-06 , 20:54
LEG_06_31 , AIR2 , 2000-01-06 , 21:00 , BASE2 , 2000-01-06 , 21:51
LEG_07_16 , AIR2 , 2000-01-07 , 19:30 , BASE1 , 2000-01-07 , 20:54
LEG_07_34 , AIR2 , 2000-01-07 , 21:00 , BASE2 , 2000-01-07 , 21:51
LEG_08_16 , AIR2 , 2000-01-08 , 19:30 , BASE1 , 2000-01-08 , 20:54
LEG_08_34 , AIR2 , 2000-01-08 , 21:00 , BASE2 , 2000-01-08 , 21:51
LEG_09_16 , AIR2 , 2000-01-09 , 19:30 , BASE1 , 2000-01-09 , 20:54
LEG_09_34 , AIR2 , 2000-01-09 , 21:00 , BASE2 , 2000-01-09 , 21:51
LEG_10_16 , AIR2 , 2000-01-10 , 19:30 , BASE1 , 2000-01-10 , 20:54
LEG_10_34 , AIR2 , 2000-01-10 , 21:00 , BASE2 , 2000-01-10 , 21:51
LEG_11_16 , AIR2 , 2000-01-11 , 19:30 , BASE1 , 2000-01-11 , 20:54
LEG_11_34 , AIR2 , 2000-01-11 , 21:00 , BASE2 , 2000-01-11 , 21:51
LEG_12_13 , AIR2 , 2000-01-12 , 19:30 , BASE1 , 2000-01-12 , 20:54
LEG_13_13 , AIR2 , 2000-01-13 , 19:30 , BASE1 , 2000-01-13 , 20:54
LEG_13_31 , AIR2 , 2000-01-13 , 21:00 , BASE2 , 2000-01-13 , 21:51
LEG_14_17 , AIR2 , 2000-01-14 , 19:30 , BASE1 , 2000-01-14 , 20:54
LEG_14_35 , AIR2 , 2000-01-14 , 21:00 , BASE2 , 2000-01-14 , 21:51
LEG_01_2 , AIR3 , 2000-01-01 , 17:45 , BASE2 , 2000-01-01 , 18:27
LEG_02_0 , AIR3 , 2000-01-02 , 17:45 , BASE2 , 2000-01-02 , 18:27
LEG_03_0 , AIR3 , 2000-01-03 , 17:45 , BASE2 , 2000-01-03 , 18:27
LEG_04_0 , AIR3 , 2000-01-04 , 17:45 , BASE2 , 2000-01-04 , 18:27
LEG_05_0 , AIR3 , 2000-01-05 , 17:45 , BASE2 , 2000-01-05 , 18:27
LEG_06_2 , AIR3 , 2000-01-06 , 17:45 , BASE2 , 2000-01-06 , 18:27
LEG_07_2 , AIR3 , 2000-01-07 , 17:45 , BASE2 , 2000-01-07 , 18:27
